State,Language,Total Persons
KERALA,LADAKHI,16
KERALA,LUSHAI/MIZO,27
KERALA,MARATHI,41061
KERALA,NEPALI,4455
KERALA,NISSI/DAFLA,12
KERALA,ODIA,12125
KERALA,OTHERS,19588
KERALA,PUNJABI,2307
KERALA,RABHA,17
KERALA,SANSKRIT,22974
KERALA,SANTALI,121
KERALA,TAMIL,984623
KERALA,TANGSA,20
KERALA,TELUGU,62516
KERALA,TIBETAN,8
KERALA,URDU,30444
LAKSHADWEEP,ADI,4
LAKSHADWEEP,ASSAMESE,1
LAKSHADWEEP,BENGALI,143
LAKSHADWEEP,BODO,5
LAKSHADWEEP,ENGLISH,12444
LAKSHADWEEP,GUJARATI,37
LAKSHADWEEP,HINDI,11523
LAKSHADWEEP,MARATHI,41
LAKSHADWEEP,NEPALI,4
LAKSHADWEEP,ODIA,41
LAKSHADWEEP,OTHERS,9383
LAKSHADWEEP,PUNJABI,13
LAKSHADWEEP,SANSKRIT,4
LAKSHADWEEP,TAMIL,513
LAKSHADWEEP,TELUGU,55
LAKSHADWEEP,URDU,82
MADHYA PRADESH,ADI,448
MADHYA PRADESH,ASSAMESE,2342
MADHYA PRADESH,BENGALI,131238
MADHYA PRADESH,BHOTIA,59
MADHYA PRADESH,BODO,94
MADHYA PRADESH,DEORI,7
MADHYA PRADESH,DIMASA,12
MADHYA PRADESH,DOGRI,1007
MADHYA PRADESH,ENGLISH,3948434
MADHYA PRADESH,GARO,20
MADHYA PRADESH,GUJARATI,277717
MADHYA PRADESH,HINDI,69532462
MADHYA PRADESH,KARBI/MIKIR,4
MADHYA PRADESH,KHASI,21
MADHYA PRADESH,LADAKHI,60
MADHYA PRADESH,LUSHAI/MIZO,188
MADHYA PRADESH,MARATHI,1537230
MADHYA PRADESH,MISHMI,3
MADHYA PRADESH,NEPALI,13876
MADHYA PRADESH,NISSI/DAFLA,75
MADHYA PRADESH,ODIA,19853
MADHYA PRADESH,OTHERS,98850
MADHYA PRADESH,PUNJABI,190285
MADHYA PRADESH,RABHA,29
MADHYA PRADESH,SANSKRIT,703056
MADHYA PRADESH,SANTALI,466
MADHYA PRADESH,SEMA,23
MADHYA PRADESH,TAMIL,24845
MADHYA PRADESH,TANGSA,5
MADHYA PRADESH,TELUGU,28607
MADHYA PRADESH,TIBETAN,84
MADHYA PRADESH,URDU,1370765
MADHYA PRADESH,WANCHO,5
MAHARASHTRA,ADI,207
MAHARASHTRA,ASSAMESE,15481
MAHARASHTRA,BENGALI,483208
MAHARASHTRA,BHOTIA,117
MAHARASHTRA,BODO,354
MAHARASHTRA,DEORI,5
MAHARASHTRA,DIMASA,32
MAHARASHTRA,DOGRI,2174
MAHARASHTRA,ENGLISH,16092108
MAHARASHTRA,GARO,119
MAHARASHTRA,GUJARATI,2770008
MAHARASHTRA,HINDI,58538383
MAHARASHTRA,KARBI/MIKIR,22
MAHARASHTRA,KHASI,268
MAHARASHTRA,LADAKHI,20
MAHARASHTRA,LUSHAI/MIZO,435
MAHARASHTRA,MARATHI,91315446
MAHARASHTRA,MIRI/MISHING,14
MAHARASHTRA,MISHMI,20
MAHARASHTRA,NEPALI,82638
MAHARASHTRA,NISSI/DAFLA,62
MAHARASHTRA,NOCTE,1
MAHARASHTRA,ODIA,144379
MAHARASHTRA,OTHERS,329322
MAHARASHTRA,PUNJABI,323095
MAHARASHTRA,RABHA,39
MAHARASHTRA,SANSKRIT,145094
MAHARASHTRA,SANTALI,112510
MAHARASHTRA,SEMA,80
MAHARASHTRA,SHERPA,6
MAHARASHTRA,TAMIL,543458
MAHARASHTRA,TANGSA,21
MAHARASHTRA,TELUGU,1593208
MAHARASHTRA,TIBETAN,1067
MAHARASHTRA,URDU,8073019
MAHARASHTRA,WANCHO,7
MANIPUR,ADI,82
MANIPUR,ASSAMESE,10299
MANIPUR,BENGALI,40735
MANIPUR,BHOTIA,14
MANIPUR,BODO,191
MANIPUR,DEORI,2
MANIPUR,DIMASA,43
MANIPUR,DOGRI,1941
MANIPUR,ENGLISH,903025
MANIPUR,GARO,72
MANIPUR,GUJARATI,221
MANIPUR,HINDI,526526
MANIPUR,KARBI/MIKIR,120
MANIPUR,KHASI,721
MANIPUR,LADAKHI,3
MANIPUR,LUSHAI/MIZO,21404
MANIPUR,MARATHI,1696
MANIPUR,MIRI/MISHING,10
MANIPUR,MISHMI,14
MANIPUR,NEPALI,66782
MANIPUR,NISSI/DAFLA,24
MANIPUR,NOCTE,44
MANIPUR,ODIA,962
MANIPUR,OTHERS,43510
MANIPUR,PUNJABI,1699
MANIPUR,RABHA,19
MANIPUR,SANSKRIT,387
MANIPUR,SANTALI,21
MANIPUR,SEMA,116
MANIPUR,SHERPA,43
MANIPUR,TAMIL,1988
MANIPUR,TANGSA,50
MANIPUR,TELUGU,1723
MANIPUR,TIBETAN,6
MANIPUR,URDU,1992
MANIPUR,WANCHO,89
MEGHALAYA,ADI,394
MEGHALAYA,ASSAMESE,112162
MEGHALAYA,BENGALI,292374
MEGHALAYA,BHOTIA,212
MEGHALAYA,BODO,5573
MEGHALAYA,DEORI,27
MEGHALAYA,DIMASA,294
